name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,HSN Code,Secondary Name,Details,Invoice Details,Supplier Name,Supplier Part No,Supplier Price,Supplier 2 Name,Supplier 2 Part No,Supplier 2 Price,Supplier 3 Name,Supplier 3 Part No,Supplier 3 Price,Supplier 4 Name,Supplier 4 Part No,Supplier 4 Price,Supplier 5 Name,Supplier 5 Part No,Supplier 5 Price
Snakelight multicolour wide,,code128,,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCB,,code128,,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double poles,,code128,ANDELI,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single cut out,,code128,,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tester small,,code128,,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tester big,,code128,,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9watts tronic pin,,code128,,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 watts tronic screw,,code128,,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5 singles cable coast,,code128,,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5 single cable coast,,code128,,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0 single cable coast,,code128,,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5 twin earth coast,,code128,,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5 twin earth coast cable,,code128,,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5 single evin cable,,code128,,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5 evin cable singles,,code128,,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0 evin cable,,code128,,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5 twin earth evin cable,,code128,,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
