name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,HSN Code,Secondary Name,Details,Invoice Details,Supplier Name,Supplier Part No,Supplier Price,Supplier 2 Name,Supplier 2 Part No,Supplier 2 Price,Supplier 3 Name,Supplier 3 Part No,Supplier 3 Price,Supplier 4 Name,Supplier 4 Part No,Supplier 4 Price,Supplier 5 Name,Supplier 5 Part No,Supplier 5 Price
TRONIC HIVOLTGUARD NEW 13A VS HG13,E4SPTS2,code128,TRONIC,HW001,U002,U002,U002,983,1500,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTIA POWER GUARD 13A USB EST PG13-UB,E4SPTS3,code128,TRONIC,HW001,U002,U002,U002,841,1250,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRONIC FRIDGE GUARD NEW VS FG05,E4SPTS4,code128,TRONIC,HW001,U002,U002,U002,1091,1950,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRONIC TV GUARD 7A VS TV07,E4SPTS5,code128,TRONIC,HW001,U002,U002,U002,1276,2500,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLOAT SWITCH 2MTR TRONIC PS FLOT-2M,E4SPTS6,code128,TRONIC,HW001,U002,U002,U002,672,1450,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDUSTRIAL SOCKET WALL 16AMPS 3 PIN ESTIA EST IS16-3P,E4SPTS7,code128,TRONIC,HW001,U002,U002,U002,125,500,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDUSTRIAL PLUG 32AMPS 3 PIN ESTIA EST IP32-3P,E4SPTS8,code128,TRONIC,HW001,U002,U002,U002,228,650,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDUSTRIAL SOCKET WALL 32AMPS 3 PIN ESTIA EST IS32-3P,E4SPTS9,code128,TRONIC,HW001,U002,U002,U002,289,650,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRONIC MCB SP 6A 6K MC 1006-6K NEW INDIA,E4SPTS10,code128,TRONIC,HW001,U002,U002,U002,141,310,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRONIC MCB SP 10A 6K MC 1010-6K NEW INDIA,TMSKMNI,code128,TRONIC,HW001,U002,U002,U002,141,310,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
